7557;Barcs;11
7570;Barcs;11
7478;Bárdudvarnok;11
8948;Barlahida;15
3126;Bárna;19
8291;Barnag;8
2883;Bársonyos;9
7923;Basal;3
3881;Baskó;5
7149;Báta;18
7164;Bátaapáti;18
7140;Bátaszék;18
7258;Baté;11
6528;Bátmonostor;12
3078;Bátonyterenye;19
3070;Bátonyterenye;19
3151;Bátonyterenye;19
3336;Bátor;4
4343;Bátorliget;13
5830;Battonya;16
6351;Bátya;12
8797;Batyk;15
8887;Bázakerettye;15
8352;Bazsi;8
8565;Béb;8
8866;Becsehely;15
2693;Becske;19
3768;Becskeháza;5
8985;Becsvölgye;15
8666;Bedegkér;11
4128;Bedő;17
9683;Bejcgyertyános;10
8515;Békás;8
3903;Bekecs;5
5630;Békés;16
5623;Békéscsaba;16
5671;Békéscsaba;16
5600;Békéscsaba;16
5946;Békéssámson;16
5561;Békésszentandrás;16
3343;Bekölce;4
3346;Bélapátfalva;4
7589;Bélavár;11
7061;Belecska;18
9343;Beled;6
7543;Beleg;11
8855;Belezna;15
5643;Bélmegyer;16
2455;Beloiannisz;1
8978;Belsősárd;15
7747;Belvárdgyula;3
4643;Benk;13
2216;Bénye;7
3045;Bér;19
9831;Bérbaltavár;10
2687;Bercel;19
4934;Beregdaróc;13
4933;Beregsurány;13
4116;Berekböszörmény;17
5309;Berekfürdő;2
7827;Beremend;3
3704;Berente;5
3834;Beret;5
4103;Berettyóújfalu;17
4100;Berettyóújfalu;17
8182;Berhida;8
8181;Berhida;8
2641;Berkenye;19
7664;Berkesd;3
4521;Berkesz;13
2639;Bernecebaráti;7
3575;Berzék;5
7516;Berzence;11
7838;Besence;3
4557;Besenyőd;13
3373;Besenyőtelek;4
5071;Besenyszög;2
2456;Besnyő;1
4488;Beszterec;13
7782;Bezedek;3
9223;Bezenye;6
8934;Bezeréd;15
9162;Bezi;6
2051;Biatorbágy;7
7671;Bicsérd;3
2060;Bicske;1
4175;Bihardancsháza;17
4110;Biharkeresztes;17
4172;Biharnagybajom;17
4174;Bihartorda;17
5538;Biharugra;16
7043;Bikács;18
7346;Bikal;3
4235;Biri;13
7747;Birján;3
7811;Bisse;3
9625;Bő;10
9542;Boba;15
8943;Bocfölde;4
3368;Boconád;12
3574;Bőcs;15
6235;Bócsa;17
8776;Bocska;3
4241;Bocskaikert;1
7672;Boda;1
8053;Bodajk;3
8991;Böde;6
8969;Bödeháza;4
8085;Bodmér;8
7394;Bodolyabér;11
9134;Bodonhely;5
3243;Bodony;5
8471;Bodorfa;5
7439;Bodrog;5
3987;Bodroghalom;5
3916;Bodrogkeresztúr;5
3917;Bodrogkisfalud;5
3943;Bodrogolaszi;5
3768;Bódvalenke;3
3764;Bódvarákó;3
3763;Bódvaszilas;3
3412;Bogács;18
7742;Bogád;6
7836;Bogádmindszent;17
7966;Bogdása;15
9612;Bögöt;9
9675;Bögöte;19
7132;Bogyiszló;4
9324;Bogyoszló;3
8719;Böhönye;5
4114;Bojt;5
8741;Bókaháza;5
2855;Bokod;11
4231;Bököny;11
3066;Bokor;3
7025;Bölcske;15
3016;Boldog;11
7937;Boldogasszonyfa;18
3884;Boldogkőújfalu;18
3885;Boldogkőváralja;18
3794;Boldva;14
7517;Bolhás;10
7586;Bolhó;3
7754;Bóly;12
8992;Boncodfölde;15
7281;Bonnya;5
9073;Bőny;5
7187;Bonyhád;5
7150;Bonyhád;5
7158;Bonyhádvarasd;5
9152;Börcs;5
6795;Bordány;5
9554;Borgáta;19
7756;Borjád;8
6445;Borota;8
8885;Borsfa;3
